学校名,所在地,設置,T_,B1_T,B1_M,B1_F,B1_U,B2_T,B2_M,B2_F,B2_U,B3_T,B3_M,B3_F,B3_U,R1_T,R1_M,R1_F,R1_U,R2_T,R2_M,R2_F,R2_U,R3_T,R3_M,R3_F,R3_U,設置_meta,共別,中高,year,B_M,B_F,R_M,R_F,卒数
栄光学園,神奈川,私,46,8,8,0,0,13,13,0,0,6,6,0,0,12,12,0,0,6,6,0,0,1,1,0,0,1,男,中,1980,27,0,19,0,
海城,東京,私,7,1,1,0,0,2,2,0,0,0,0,0,0,3,3,0,0,1,1,0,0,0,0,0,0,1,男,中,1980,3,0,4,0,
海星,長崎,私,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,男,中,1980,0,0,1,0,
開成,東京,私,129,30,30,0,0,24,24,0,0,7,7,0,0,46,46,0,0,20,20,0,0,2,2,0,0,1,男,中,1980,61,0,68,0,
学習院高等科,東京,私,5,0,0,0,0,0,0,0,0,2,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,男,中,1980,2,0,3,0,
学習院女子高等科,東京,私,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,女,中,1980,0,1,0,0,
久留米大学附設,福岡,私,27,6,6,0,0,3,3,0,0,1,1,0,0,14,14,0,0,3,3,0,0,0,0,0,0,1,男,中,1980,10,0,17,0,
暁星,東京,私,3,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,男,中,1980,2,0,1,0,
桐蔭学園,神奈川,私,20,4,4,0,0,3,3,0,0,1,1,0,0,11,11,0,0,1,1,0,0,0,0,0,0,1,男,中,1980,8,0,12,0,
桐朋,東京,私,40,4,4,0,0,4,4,0,0,2,2,0,0,18,18,0,0,10,10,0,0,2,2,0,0,1,男,中,1980,10,0,30,0,
近畿大附女子,福岡,私,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,女,―,1980,0,1,0,0,
駒場東邦,東京,私,35,9,9,0,0,4,4,0,0,5,5,0,0,13,13,0,0,3,3,0,0,1,1,0,0,1,男,中,1980,18,0,17,0,
慶應義塾,神奈川,私,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,男,中,1980,1,0,0,0,
慶應義塾志木,埼玉,私,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,男,―,1980,0,0,2,0,
佼成学園,東京,私,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,男,中,1980,0,0,1,0,
広島学院,広島,私,31,4,4,0,0,3,3,0,0,2,2,0,0,15,15,0,0,7,7,0,0,0,0,0,0,1,男,中,1980,9,0,22,0,
晃華学園,東京,私,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,女,中,1980,0,0,0,1,
甲陽学院,兵庫,私,23,5,5,0,0,5,5,0,0,0,0,0,0,10,10,0,0,2,2,0,0,1,1,0,0,1,男,中,1980,10,0,13,0,
香川県大手前,香川,私,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,1,共,中,1980,0,0,4,0,
高田,三重,私,9,2,2,0,0,0,0,0,0,1,1,0,0,5,5,0,0,1,1,0,0,0,0,0,0,1,共,中,1980,3,0,6,0,
桜蔭,東京,私,9,3,0,3,0,0,0,0,0,3,0,3,0,1,0,1,0,2,0,2,0,0,0,0,0,0,女,中,1980,0,6,0,3,
三重,三重,私,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,男,中,1980,0,0,2,0,
三田学園,兵庫,私,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,男,中,1980,0,0,1,0,
市川,千葉,私,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,男,中,1980,1,0,0,0,
芝,東京,私,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,男,中,1980,0,0,1,0,
修道,広島,私,6,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,1,男,中,1980,3,0,3,0,
淳心学院,兵庫,私,18,4,4,0,0,3,3,0,0,0,0,0,0,7,7,0,0,4,4,0,0,0,0,0,0,1,男,中,1980,7,0,11,0,
女子学院,東京,私,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,女,中,1980,0,0,0,2,
城北,東京,私,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,男,中,1980,1,0,1,0,
清泉女学院,神奈川,私,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,女,中,1980,0,0,0,1,
清風,大阪,私,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,男,中,1980,0,0,1,0,
清風南海,大阪,私,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,男,―,1980,1,0,0,0,
聖光学院,神奈川,私,18,2,2,0,0,3,3,0,0,2,2,0,0,7,7,0,0,4,4,0,0,0,0,0,0,1,男,中,1980,7,0,11,0,
青雲,長崎,私,6,2,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,1,男,―,1980,3,0,3,0,
静岡聖光学院,静岡,私,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,男,中,1980,1,0,1,0,
跡見学園,東京,私,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,女,中,1980,0,1,0,0,
創価,東京,私,5,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,男,中,1980,4,0,1,0,
早稲田,東京,私,3,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,男,中,1980,2,0,1,0,
早稲田大学高等学院,東京,私,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,男,中,1980,1,0,1,0,
巣鴨,東京,私,6,1,1,0,0,1,1,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,男,中,1980,4,0,2,0,
大阪星光学院,大阪,私,11,3,3,0,0,2,2,0,0,0,0,0,0,5,5,0,0,1,1,0,0,0,0,0,0,1,男,中,1980,5,0,6,0,
滝,愛知,私,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1,1,0,0,1,共,中,1980,0,0,4,0,
土佐,高知,私,5,1,1,0,0,1,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,共,中,1980,2,0,3,0,
東海,愛知,私,19,7,7,0,0,3,3,0,0,4,4,0,0,2,2,0,0,2,2,0,0,1,1,0,0,1,男,中,1980,14,0,5,0,
東京純心女子,東京,私,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,女,―,1980,0,0,0,1,
